Year_period,NDVI
2000_seasonMax,2038
2001_seasonMax,5427
2002_seasonMax,3142
2003_seasonMax,1123
2004_seasonMax,8609
2005_seasonMax,26583
2006_seasonMax,4551
2007_seasonMax,2878
2008_seasonMax,11168
2009_seasonMax,21654
2010_seasonMax,13349
2011_seasonMax,21639
2012_seasonMax,3169
2013_seasonMax,4185
2014_seasonMax,3154
2015_seasonMax,7095
2016_seasonMax,6070
2017_seasonMax,20326
2018_seasonMax,27733
2019_seasonMax,10257
2020_seasonMax,10888
