Year_period,NDVI
2000_seasonMax,23628
2001_seasonMax,22429
2002_seasonMax,24954
2003_seasonMax,20236
2004_seasonMax,24426
2005_seasonMax,24983
2006_seasonMax,24692
2007_seasonMax,22601
2008_seasonMax,25008
2009_seasonMax,25100
2010_seasonMax,24978
2011_seasonMax,24920
2012_seasonMax,23991
2013_seasonMax,24540
2014_seasonMax,21644
2015_seasonMax,23600
2016_seasonMax,24074
2017_seasonMax,24746
2018_seasonMax,25059
2019_seasonMax,21861
2020_seasonMax,24901
