Year_period,NDVI
2000_seasonMax,2272
2001_seasonMax,2440
2002_seasonMax,2931
2003_seasonMax,1072
2004_seasonMax,4678
2005_seasonMax,4820
2006_seasonMax,2971
2007_seasonMax,1259
2008_seasonMax,5015
2009_seasonMax,6394
2010_seasonMax,6457
2011_seasonMax,12216
2012_seasonMax,3278
2013_seasonMax,5213
2014_seasonMax,5715
2015_seasonMax,3653
2016_seasonMax,4190
2017_seasonMax,10353
2018_seasonMax,10840
2019_seasonMax,3546
2020_seasonMax,13949
