Year_period,NDVI
2000_seasonMax,2
2001_seasonMax,0
2002_seasonMax,2
2003_seasonMax,0
2004_seasonMax,2
2005_seasonMax,0
2006_seasonMax,2
2007_seasonMax,0
2008_seasonMax,2
2009_seasonMax,4
2010_seasonMax,5
2011_seasonMax,10
2012_seasonMax,4
2013_seasonMax,6
2014_seasonMax,0
2015_seasonMax,5
2016_seasonMax,4
2017_seasonMax,2
2018_seasonMax,10
2019_seasonMax,2
2020_seasonMax,8
