Year_period,NDVI
2000_seasonMax,100
2001_seasonMax,0
2002_seasonMax,16
2003_seasonMax,1
2004_seasonMax,1
2005_seasonMax,93
2006_seasonMax,18
2007_seasonMax,0
2008_seasonMax,168
2009_seasonMax,135
2010_seasonMax,30
2011_seasonMax,164
2012_seasonMax,7
2013_seasonMax,38
2014_seasonMax,17
2015_seasonMax,10
2016_seasonMax,12
2017_seasonMax,18
2018_seasonMax,228
2019_seasonMax,12
2020_seasonMax,69
