Year_period,NDVI
2000_seasonMax,5
2001_seasonMax,6
2002_seasonMax,20
2003_seasonMax,4
2004_seasonMax,11
2005_seasonMax,41
2006_seasonMax,4
2007_seasonMax,13
2008_seasonMax,27
2009_seasonMax,31
2010_seasonMax,74
2011_seasonMax,330
2012_seasonMax,0
2013_seasonMax,19
2014_seasonMax,21
2015_seasonMax,13
2016_seasonMax,9
2017_seasonMax,42
2018_seasonMax,23
2019_seasonMax,6
2020_seasonMax,92
