Year_period,NDVI
2000_seasonMax,871
2001_seasonMax,1521
2002_seasonMax,1535
2003_seasonMax,916
2004_seasonMax,1556
2005_seasonMax,1593
2006_seasonMax,1354
2007_seasonMax,959
2008_seasonMax,1646
2009_seasonMax,1983
2010_seasonMax,1991
2011_seasonMax,1382
2012_seasonMax,927
2013_seasonMax,1633
2014_seasonMax,1424
2015_seasonMax,1759
2016_seasonMax,1732
2017_seasonMax,2084
2018_seasonMax,2133
2019_seasonMax,1231
2020_seasonMax,1938
