Year_period,NDVI
2000_seasonMax,407
2001_seasonMax,975
2002_seasonMax,1039
2003_seasonMax,481
2004_seasonMax,2010
2005_seasonMax,1115
2006_seasonMax,875
2007_seasonMax,556
2008_seasonMax,1974
2009_seasonMax,2078
2010_seasonMax,2658
2011_seasonMax,2817
2012_seasonMax,820
2013_seasonMax,2265
2014_seasonMax,2626
2015_seasonMax,1976
2016_seasonMax,2419
2017_seasonMax,2924
2018_seasonMax,3133
2019_seasonMax,1776
2020_seasonMax,3448
