Year_period,NDVI
2000_seasonMax,26
2001_seasonMax,31
2002_seasonMax,40
2003_seasonMax,41
2004_seasonMax,26
2005_seasonMax,38
2006_seasonMax,26
2007_seasonMax,42
2008_seasonMax,73
2009_seasonMax,114
2010_seasonMax,87
2011_seasonMax,53
2012_seasonMax,30
2013_seasonMax,64
2014_seasonMax,88
2015_seasonMax,98
2016_seasonMax,86
2017_seasonMax,92
2018_seasonMax,155
2019_seasonMax,53
2020_seasonMax,90
