Year_period,NDVI
2000_seasonMax,37
2001_seasonMax,130
2002_seasonMax,136
2003_seasonMax,91
2004_seasonMax,207
2005_seasonMax,141
2006_seasonMax,71
2007_seasonMax,29
2008_seasonMax,225
2009_seasonMax,174
2010_seasonMax,280
2011_seasonMax,432
2012_seasonMax,77
2013_seasonMax,293
2014_seasonMax,415
2015_seasonMax,333
2016_seasonMax,414
2017_seasonMax,635
2018_seasonMax,816
2019_seasonMax,594
2020_seasonMax,948
