DATE_ACQUIRED,NDVI
2013-03-14T00:00:00,0.09052369716655778
2013-03-30T00:00:00,
2013-04-15T00:00:00,0.12383226182377129
2013-05-01T00:00:00,
2013-05-17T00:00:00,0.005647577316691944
2013-06-02T00:00:00,0.1931679394780373
2013-06-18T00:00:00,0.14619474387760703
2013-07-04T00:00:00,0.20983877898873507
2013-07-20T00:00:00,0.07597960155244611
2013-08-05T00:00:00,0.19286187624230108
2013-08-21T00:00:00,0.1419462408307645
2013-09-06T00:00:00,0.17715825067891774
2013-09-22T00:00:00,0.09704164763291677
2013-10-08T00:00:00,0.0474717915058136
2013-10-24T00:00:00,0.052162382612440085
2013-11-09T00:00:00,-0.009117234312755063
2013-11-25T00:00:00,0.0070243340420143244
2013-12-11T00:00:00,0.007386393668510878
2013-12-27T00:00:00,0.10018691406196394
2014-01-12T00:00:00,0.07571626985850542
2014-01-28T00:00:00,0.053552915636874455
2014-02-13T00:00:00,0.007335612007818364
2014-03-01T00:00:00,-0.0238669751792169
2014-03-17T00:00:00,0.0826272683156142
2014-04-02T00:00:00,0.11095932964235546
2014-04-18T00:00:00,0.13045241901728882
2014-05-04T00:00:00,0.12724927067756653
2014-05-20T00:00:00,0.16543627921756332
2014-06-05T00:00:00,0.20233207861165622
2014-06-21T00:00:00,0.18063805621164641
2014-07-07T00:00:00,0.03006106101703353
2014-07-23T00:00:00,-0.0017820948394215422
2014-08-08T00:00:00,-0.009955370996590362
2014-08-24T00:00:00,0.18310045851676757
2014-09-09T00:00:00,0.16523238669321377
2014-09-25T00:00:00,0.009156561366127811
2014-10-11T00:00:00,0.1939859539270401
2014-10-27T00:00:00,-0.01294190715998411
2014-11-12T00:00:00,0.05225907279017532
2014-11-28T00:00:00,0.017465026338513077
2014-12-14T00:00:00,-0.006369469310378746
2014-12-30T00:00:00,0.0022228328560824307
2015-01-15T00:00:00,0.009347164532701097
2015-01-31T00:00:00,-0.020747555933878642
2015-02-16T00:00:00,0.09424230456352232
2015-03-04T00:00:00,0.08759496473478821
2015-03-20T00:00:00,0.12670749425888064
2015-04-05T00:00:00,0.11182321608066557
2015-04-21T00:00:00,0.11904895812320938
2015-05-07T00:00:00,0.02505944176019813
2015-05-23T00:00:00,-0.0030567677410556823
2015-06-08T00:00:00,0.22202090365000257
2015-06-24T00:00:00,0.12526155361371447
2015-07-10T00:00:00,0.2015637547129721
2015-07-26T00:00:00,0.2035497884471695
2015-08-11T00:00:00,0.16846842234549317
2015-08-27T00:00:00,0.18489334582190814
2015-09-12T00:00:00,0.049568172544240945
2015-09-28T00:00:00,-0.010021435096859932
2015-10-14T00:00:00,0.015314615206324565
2015-10-30T00:00:00,
2015-11-15T00:00:00,0.07065496256906692
2015-12-01T00:00:00,0.003681920242198775
2015-12-17T00:00:00,-0.021337028007554895
2016-01-02T00:00:00,0.0035264965769623005
2016-01-18T00:00:00,
2016-02-03T00:00:00,-0.019027618691325188
2016-02-19T00:00:00,0.026866356174097113
2016-03-06T00:00:00,
2016-03-22T00:00:00,0.09719678274420805
2016-04-07T00:00:00,0.11846902548275469
2016-04-23T00:00:00,
2016-05-09T00:00:00,0.13897796370875762
2016-05-25T00:00:00,0.17624709245405698
2016-06-10T00:00:00,0.05160088551782289
2016-06-26T00:00:00,0.22236552616240277
2016-07-12T00:00:00,0.21250865244130204
2016-07-28T00:00:00,0.18703070091421736
2016-08-13T00:00:00,0.18034072384558697
2016-08-29T00:00:00,0.16536549215545196
2016-09-14T00:00:00,0.16608120501041412
2016-09-30T00:00:00,0.06289562082790828
2016-10-16T00:00:00,0.1258168338239193
2016-11-01T00:00:00,0.12668606526446793
2016-11-17T00:00:00,0.11631582223699018
2016-12-03T00:00:00,-0.0035730958231450878
2016-12-19T00:00:00,
2017-01-04T00:00:00,
2017-01-20T00:00:00,
2017-02-05T00:00:00,-0.03262882571309637
2017-02-21T00:00:00,-0.02072789914517446
2017-03-09T00:00:00,0.005624433048069477
2017-03-25T00:00:00,
2017-04-10T00:00:00,0.12320619636969014
2017-04-26T00:00:00,0.12674025274747241
2017-05-12T00:00:00,
2017-05-28T00:00:00,0.21264136254966978
2017-06-13T00:00:00,0.020126295154509338
2017-06-29T00:00:00,0.23176417409235403
2017-07-15T00:00:00,0.14340242117211438
2017-07-31T00:00:00,0.19224460483286424
2017-08-16T00:00:00,0.1458785607513175
2017-09-01T00:00:00,0.18911873929926595
2017-09-17T00:00:00,
2017-10-03T00:00:00,0.13007287737565143
2017-10-19T00:00:00,0.12284741302331288
2017-11-04T00:00:00,0.031807571510406425
2017-11-20T00:00:00,0.12052222788333893
2017-12-06T00:00:00,0.12430938890923754
2017-12-22T00:00:00,-0.018838591350481527
2018-01-07T00:00:00,0.07691458877720853
2018-01-23T00:00:00,0.0016382489636351792
2018-02-08T00:00:00,0.07790699546161088
2018-02-24T00:00:00,-0.00454759950464396
2018-03-12T00:00:00,
2018-03-28T00:00:00,0.16741408216168513
2018-04-13T00:00:00,0.10271416188059553
2018-04-29T00:00:00,0.11742237330866577
2018-05-15T00:00:00,0.15875748896541844
2018-05-31T00:00:00,0.20089252962978604
2018-06-16T00:00:00,-0.024810238201207046
2018-07-02T00:00:00,0.22170452271237248
2018-07-18T00:00:00,0.1969418281928087
2018-08-03T00:00:00,0.19083662331104279
2018-08-19T00:00:00,0.12208255462925062
2018-09-04T00:00:00,0.17204926908016205
2018-09-20T00:00:00,0.1557427847900653
2018-10-06T00:00:00,0.12180751600196456
2018-10-22T00:00:00,-0.009329997934401035
2018-11-07T00:00:00,0.1209332395935881
2018-11-23T00:00:00,0.1244898133467291
2018-12-09T00:00:00,0.01000746994478894
2018-12-25T00:00:00,-0.019993520089092862
2019-01-10T00:00:00,-0.03166450995176955
2019-01-26T00:00:00,0.007036370690912008
2019-02-11T00:00:00,-0.008714365210854799
2019-02-27T00:00:00,0.018693450430076416
2019-03-15T00:00:00,0.03860219972937004
2019-03-31T00:00:00,
2019-04-16T00:00:00,
2019-05-02T00:00:00,0.021915134024358806
2019-05-18T00:00:00,
2019-06-03T00:00:00,0.16701240023208222
2019-06-19T00:00:00,0.16187950760397868
2019-07-05T00:00:00,0.08834033459424973
2019-07-21T00:00:00,0.16944683485191941
2019-08-06T00:00:00,0.20383856880782852
2019-08-22T00:00:00,0.1765882580549316
2019-09-07T00:00:00,0.17349619285208012
2019-09-23T00:00:00,0.14918946097494262
2019-10-09T00:00:00,0.13700173220178424
2019-10-25T00:00:00,0.0999836584674978
2019-11-10T00:00:00,0.09237813555243093
2019-11-26T00:00:00,-0.008462991647832199
2019-12-12T00:00:00,0.1323412638232411
2019-12-28T00:00:00,-0.028094692155718803
2020-01-13T00:00:00,-0.008610651923868902
2020-01-29T00:00:00,0.0420253649353981
2020-02-14T00:00:00,0.00700253095240904
2020-03-01T00:00:00,-0.012553762644529341
2020-03-17T00:00:00,0.07087132106809053
2020-04-02T00:00:00,0.10074423850164749
2020-04-18T00:00:00,0.11177218808182354
2020-05-04T00:00:00,0.1314820082370296
2020-05-20T00:00:00,0.15743788724809182
2020-06-05T00:00:00,0.21547003090381622
2020-06-21T00:00:00,0.21981402541849723
2020-07-07T00:00:00,0.20682050287723538
2020-07-23T00:00:00,
2020-08-08T00:00:00,0.18764029443264008
2020-08-24T00:00:00,0.1811345898442798
2020-09-09T00:00:00,0.1311635308698112
