"","combo_NO","slope","start","end"
"72","06121_01",0.002239389,0.107272616864383,0.111996362861054
"73","06122_01",0.001424955,0.130071017181191,0.132020847450889
"74","06123_01",0.002249765,0.11746347587294,0.120038091106121
"75","06123_02",0.001490839,0.0645659673451371,0.0684108121241735
"76","06123_03",0.001577335,0.0954204642159896,0.0999334716711559
"77","06123_04",0.002029714,0.107433311505844,0.108067334017484
"78","06124_01",-0.003865674,0.0173921143325783,0.0948614188427904
"79","06125_01",0.001278328,0.095095966111537,0.103204941621292
"80","06126_01",0.00136369,-0.000444785232360152,0.0931456509366831
"81","06127_01",0.00208581,-0.0090535311941736,0.10371123454177
"82","06128_01",0.002490641,0.107363387173627,0.108171793480064
"83","06128_02",0.00187295,0.0930834122381621,0.0957869493715894
"84","06129_01",0.002308193,0.0887580651942419,0.0938622226572915
"85","06201_01",0.002407316,0.133980010124137,0.131898781659242
"86","06201_02",0.001730863,0.101295255850354,0.106799281734889
"87","06201_03",0.000442835,0.112839473569158,0.113006023244541
"88","06201_04",0.002481113,0.0980213683682995,0.102162909825727
"89","06201_05",0.002148339,0.0799143297673623,0.0873194884897164
"90","06201_06",-0.000313551,0.0920549099029027,0.0995263803941819
"91","06201_07",-0.002169399,0.106832364851071,0.113442124737335
"92","06201_08",0.00219584,0.131039480211422,0.109009714323084
"93","06202_01",NA,0.122527093779511,NA
"94","06202_02",0.002497063,0.0935959629974439,0.101059136468422
"95","06202_03",0.002380509,0.0861319322106672,0.0987030682069096
"96","06202_04",0.002033066,0.0933089420262016,0.0999082171708808
"97","06202_05",0.001833061,0.147453234971748,0.145394312349836
"98","06203_01",0.001420556,0.118153553681937,0.116684885608814
"99","06203_03",0.001644942,0.0834548668087798,0.0845770830425062
"100","06203_04",0.002008424,0.0970310375714,0.0997165531574255
"101","06203_05",0.001603235,0.113499665977451,0.106993142676843
"102","06203_06",0.001019023,0.113660858062616,0.112468897021661
"103","06203_07",0.003719304,0.117357962049688,0.116164825473255
"104","06204_01",0.00254921,0.100748065942392,0.10472615707956
"105","06204_02",0.002157056,0.0875810258186807,0.0909791375684711
"106","06204_03",0.001443322,0.0975619003652022,0.101500670906561
"107","06204_04",0.000417619,0.080035199218797,0.0854966073537681
"108","06204_05",0.002678752,0.110380629116552,0.11686523171361
"109","06204_06",0.001915227,0.0937224770833698,0.0972688529034569
"110","06204_07",0.002358561,0.101807554950976,0.10156780756739
"111","06205_01",0.000386579,0.0713564805887995,0.0804897992380416
"112","06205_02",-4.69e-05,0.0797290142597401,0.0929891507171331
"113","06205_03",0.002574955,0.0799175199821296,0.0837089464737547
"114","06205_04",0.002483697,0.103366653508138,0.104077554683428
"115","06205_05",0.000387624,0.102344752934884,0.115895210266928
"116","06205_06",0.002018807,0.107868082288389,0.110732235371934
"117","06205_07",-0.00244043,0.0969702619715312,0.101523206682878
"118","06205_08",0.000705952,0.119011560140594,0.123413537015141
"119","06205_09",0.000634469,0.101273323980414,0.144775444568584
"120","06207_01",0.002468464,0.0743473734783969,0.083343567073886
"121","06207_02",0.004316382,0.0868446225646154,0.102137437965352
"122","06207_03",0.002792505,0.0817631193672026,0.0910423076985038
"123","06207_04",0.002753499,0.0880265026006961,0.0915768802641375
"124","06208_01",0.002015289,0.0610198016187329,0.0651158504759906
"125","06208_02",0.002816518,0.0799380399269038,0.0848875417891351
"126","06209_01",0.003062114,0.117122906491751,0.120288147430845
"127","06209_02",0.002679529,0.0619235432828834,0.10008856777862
"128","06209_03",0.002137749,0.116006394571896,0.122039450632114
"129","06209_04",0.002309851,0.0806123556039091,0.0882150434625115
"130","06209_05",0.001980389,0.0922992229338085,0.103324478608018
"131","06209_06",0.00299429,0.0886445840623432,0.093226348112181
"132","06209_07",0.002418185,0.101125541426961,0.0950701598176056
"133","06209_08",0.002219302,0.109952928164559,0.112832954471306
"134","06210_01",0.002494429,0.0702749915058948,0.0792743070130011
"135","06211_01",0.003629847,0.0812381201885052,0.116472324176311
"136","06211_02",0.002611577,0.0710136698813803,0.0791194196083252
"137","06213_01",0.00308385,0.125633137349814,0.13124298802154
"138","06215_01",0.002558005,0.105587060080095,0.114366433561716
"139","06217_01",0.003283016,0.133731158253342,0.139554978149343
"140","06223_01",0.001116743,0.062659128821495,0.0640720104348526
"141","06224_01",0.00280544,0.12918813611906,0.127829877755278
"142","06224_02",0.002675389,0.106196892468638,0.107274509890624
"143","06225_01",0.002017665,0.107952184949552,0.11268570001652
"144","06225_02",0.001431534,0.109690223860751,0.111528097037777
"145","06226_01",0.002881091,0.109650720451384,0.113909478356974
"146","06227_01",0.002976829,0.0999914005284027,0.103469578851732
"147","06228_01",0.000159644,0.081607747967621,0.0812269610134663
"148","06228_02",0.002358605,0.108434794727403,0.11256900419708
"149","06228_03",0.003387128,0.117220810361974,0.122271837941084
"150","06233_01",0.003424177,0.0996370685819885,0.108667077949495
"151","06233_02",0.003099145,0.0922628117764299,0.0971140931145358
"152","06233_03",-0.000985236,0.112963640829082,0.11732984570702
"153","06234_01",-0.000818302,0.0960212359070119,0.101854168372657
"154","06234_02",0.002832397,0.10993815292019,0.121233612130701
"155","06235_01",0.003471956,0.105820353062611,0.112618196477467
"156","06235_02",0.000951132,0.0703174547807574,0.0722250864883633
"157","06235_03",-0.000208584,0.0995944884756483,0.103116421769999
"158","06235_04",0.002727727,0.0983579867413252,0.108759516576536
"159","06236_02",0.002328491,0.119293889020048,0.119922570275879
"160","06236_03",0.002651227,0.121007570693375,0.126088666552069
"161","06236_04",0.003258021,0.0952342012389532,0.106978391056251
"162","06236_05",-0.000168642,0.105054641317795,0.113596827870397
"163","06236_06",0.00184193,0.107430931632954,0.11085607250675
"164","06236_07",0.000750384,0.100146294002916,0.103572371564892
"165","06236_08",0.002662614,0.112332380873073,0.120550973851174
"166","06236_09",0.002790176,0.104148900189659,0.128497750483479
"167","06238_01",0.001315341,0.108007767962743,0.106672700226195
"168","06238_02",0.003062135,0.110900363162224,0.109976406738868
"169","06238_03",0.001246576,0.131681534873463,0.104908734460537
"170","06239_01",0.000800408,0.0966377520953872,0.0969016434765839
"171","06240_01",0.001280569,0.127952079365767,0.128378217295381
"172","06241_02",0.000670802,0.0919314521056717,0.0944850669807184
"173","06243_01",0.003071217,0.11837409572434,0.132705424840293
"174","06248_01",0.000400777,0.102220625774997,0.107542989860704
