Allotment,Pasture,MIM.siteName,PIBO.siteName,Protocol,Year,GGW,bankfull.width,D50,percent.fines,covered.stable,stable,wetland.rating
Ryegrass,Ryegrass,RG01,092-11-IK,PIBO,2009,,1.72,11.5,,0.62,0.86,51
Ryegrass,Ryegrass,RG01,092-11-IK,MIM,2011,1.14,,11.94,0.29,0.88,0.88,48
Ryegrass,Ryegrass,RG01,092-11-IK,PIBO,2014,,1.15,7,,0.48,0.85,56
Ryegrass,Ryegrass,RG01,092-11-IK,MIM,2016,2.45,2.93,25.54,0.16,0.68,0.68,57
Ryegrass,Ryegrass,RG01,092-11-IK,PIBO,2019,,1.03,2,,0.48,0.98,
Ryegrass,Ryegrass,RG01,092-11-IK,MIM,2019,1.86,,,,0.68,0.68,55
Ryegrass,Ryegrass,RG01,092-11-IK,MIM,2022,1.64,,2.77,0.58,0.49,0.49,49
Sandy Creek,Sandy Creek,SA01,,MIM,2012,4.83,,60.51,0.02,0.93,0.93,66
Sandy Creek,Sandy Creek,SA01,,MIM,2017,4.23,4.66,50.24,0.02,0.84,0.84,73
Sandy Creek,Sandy Creek,SA01,,MIM,2022,4.89,,34.87,0.03,0.8,0.84,66
Tex Creek,Tex Creek,EC07,,MIM,2011,2.31,,20.7,0.09,0.91,0.93,67
Tex Creek,Tex Creek,EC07,,MIM,2016,2.46,2.53,30.3,0.02,0.89,0.89,59
Tex Creek,Tex Creek,EC07,,MIM,2019,2.36,,16.6,0.3,0.9,0.9,62
Tex Creek,Tex Creek,EC07,,MIM,2022,2.62,,,,0.84,0.85,57
Timber Creek,Lower,BT01,091-14-K,PIBO,2008,,6.57,,,0.79,1,
Timber Creek,Lower,BT01,091-14-K,MIM,2011,6.18,,40.1,0.11,0.75,0.81,68
Timber Creek,Lower,BT01,091-14-K,PIBO,2013,,6.43,41.5,,0.59,1,
Timber Creek,Lower,BT01,091-14-K,MIM,2014,6.33,,28.27,0.22,0.95,0.95,72
Timber Creek,Lower,BT01,091-14-K,MIM,2019,7.14,,,,0.93,0.95,74
Yearian Creek,Upper Reese Creek,RC02,092-10-I,PIBO,2004,,2.24,15.5,,0.31,0.69,61
Yearian Creek,Upper Reese Creek,RC02,092-10-I,PIBO,2009,,2.55,18.5,,0.59,0.98,67
Yearian Creek,Upper Reese Creek,RC02,092-10-I,PIBO,2014,,3.12,23.5,,0.66,0.97,64
Yearian Creek,Upper Reese Creek,RC02,092-10-I,PIBO,2019,,2.39,10,,0.48,1,71
Yearian Creek,Upper Reese Creek,RC02,092-10-I,MIM,2019,2.29,,15.88,0.12,0.85,0.88,68
Yearian Creek,South Fork,YC03,092-03-K,PIBO,2004,,2.35,,,0.83,0.9,63
Yearian Creek,South Fork,YC03,092-03-K,PIBO,2009,,2.49,,,0.62,0.9,68
Yearian Creek,South Fork,YC03,092-03-K,PIBO,2014,,3.1,21,,0.76,0.95,52
Yearian Creek,South Fork,YC03,092-03-K,PIBO,2018,,3.01,18,,0.68,0.8,
Yearian Creek,South Fork,YC03,092-03-K,MIM,2019,2.16,2.11,19.74,0.03,0.83,0.84,66
Powderhorn,Clear Creek WSA,,091-01-I,PIBO,2004,,5.17,11,,0.89,1,68
Powderhorn,Clear Creek WSA,,091-01-I,PIBO,2009,,6.22,15,,0.53,0.93,74
Powderhorn,Clear Creek WSA,,091-01-I,PIBO,2014,,7.15,16,,0.7,0.96,71
Powderhorn,Clear Creek WSA,,091-01-I,PIBO,2019,,6.05,12,,0.53,0.87,
Yearian Creek,Ramsey Mountain,,092-03-I,PIBO,2004,,2.26,2,,0.46,0.93,67
Yearian Creek,Ramsey Mountain,,092-03-I,PIBO,2009,,3.2,12,,0.43,1,63
Yearian Creek,Ramsey Mountain,,092-03-I,PIBO,2014,,3.31,11,,0.5,0.9,66
Yearian Creek,Ramsey Mountain,,092-03-I,PIBO,2019,,2.99,,,0.8,1,
Grouse Creek,Poison Gulch,,092-04-I,PIBO,2004,,2.52,56,,0.83,1,61
Grouse Creek,Poison Gulch,,092-04-I,PIBO,2009,,2.67,37.5,,0.62,0.93,61
Grouse Creek,Poison Gulch,,092-04-I,PIBO,2014,,3.28,25,,0.83,0.98,60
Grouse Creek,Poison Gulch,,092-04-I,PIBO,2019,,3.19,43,,0.73,0.75,
Muleshoe,Lower Warm Springs,,092-16-I,PIBO,2004,,3.49,27,,0.45,0.9,63
Muleshoe,Lower Warm Springs,,092-16-I,PIBO,2009,,3.84,22,,0.41,0.98,72
Muleshoe,Lower Warm Springs,,092-16-I,PIBO,2014,,5.48,15.5,,0.45,0.93,67
Muleshoe,Lower Warm Springs,,092-16-I,PIBO,2019,,3.95,24,,0.4,0.87,
McDevitt Creek,McDevitt Riparian,,092-17-IK,PIBO,2004,,3.4,2,,0.64,0.76,75
McDevitt Creek,McDevitt Riparian,,092-17-IK,PIBO,2009,,6.02,17,,0.85,1,76
McDevitt Creek,McDevitt Riparian,,092-17-IK,PIBO,2014,,4.37,10,,0.44,0.89,79
McDevitt Creek,McDevitt Riparian,,092-17-IK,PIBO,2019,,4.05,8.5,,0.57,0.91,
Leadore Hill,Lower,,091-14-I,PIBO,2008,,2.14,19,,0.81,0.83,74
Leadore Hill,Lower,,091-14-I,PIBO,2013,,1.83,45.5,,0.93,1,74
Leadore Hill,Lower,,091-14-I,PIBO,2018,,2,,,0.63,0.95,
Powderhorn,Clear Creek WSA,,091-01-K,PIBO,2013,,2.1,12,,1,1,80
Powderhorn,Clear Creek WSA,,091-01-K,PIBO,2018,,1.89,17,,0.84,0.96,
Muleshoe,Lower Cow Creek,,092-02-I,PIBO,2004,,5.17,11,,0.89,1,68
Muleshoe,Lower Cow Creek,,092-02-I,PIBO,2009,,6.22,15,,0.53,0.93,74
Muleshoe,Lower Cow Creek,,092-02-I,PIBO,2014,,7.15,16,,0.7,0.96,71
Muleshoe,Lower Cow Creek,,092-02-I,PIBO,2019,,6.05,12,,0.53,0.87,
