MIM.siteName,PIBO.siteName,Year,Unique,Allotment,Pasture,GGW,bankfull.width,D50,percent.fines,covered.stable,stable,wetland.rating,GGW.MK,bankfull.width.MK,D50.MK,percent.fines.MK,covered.stable.MK,stable.MK,wetland.rating.MK
CC01,092-02-K,2010,CC01_092-02-K,Muleshoe,Lower Cow Creek 02-K,1.97,NA,13.94,0.1,0.93,0.98,71,0.734095216,0.806495905,0.220671356,0.308179498,0.763890624,0.031418994,0.64858222
CC01,092-02-K,2014,CC01_092-02-K,Muleshoe,Lower Cow Creek 02-K,NA,2.95,42.5,NA,0.66,0.97,64,0.734095216,0.806495905,0.220671356,0.308179498,0.763890624,0.031418994,0.64858222
CC01,092-02-K,2015,CC01_092-02-K,Muleshoe,Lower Cow Creek 02-K,2.53,2.12,18.21,0.25,0.75,0.75,66,0.734095216,0.806495905,0.220671356,0.308179498,0.763890624,0.031418994,0.64858222
CC01,092-02-K,2018,CC01_092-02-K,Muleshoe,Lower Cow Creek 02-K,2.26,2.75,12.25,0.37,0.83,0.84,64,0.734095216,0.806495905,0.220671356,0.308179498,0.763890624,0.031418994,0.64858222
CC01,092-02-K,2021,CC01_092-02-K,Muleshoe,Lower Cow Creek 02-K,1.9,NA,9.78,0.36,0.81,0.84,62,0.734095216,0.806495905,0.220671356,0.308179498,0.763890624,0.031418994,0.64858222
CQ01,,2011,CQ01_,Muleshoe,Copper Queen,1.61,NA,32.5,0.01,0.96,0.96,69,0.089429371,NA,NA,NA,0.734095216,0.734095216,0.734095216
CQ01,,2014,CQ01_,Muleshoe,Copper Queen,1.52,NA,21.67,0.21,0.95,0.95,59,0.089429371,NA,NA,NA,0.734095216,0.734095216,0.734095216
CQ01,,2017,CQ01_,Muleshoe,Copper Queen,1.48,NA,NA,NA,0.98,0.98,60,0.089429371,NA,NA,NA,0.734095216,0.734095216,0.734095216
CQ01,,2021,CQ01_,Muleshoe,Copper Queen,1.32,NA,18.92,0.17,0.86,0.86,73,0.089429371,NA,NA,NA,0.734095216,0.734095216,0.734095216
EC07,,2011,EC07_,Tex Creek,Tex Creek,2.31,NA,20.7,0.09,0.91,0.93,67,0.308179498,NA,NA,NA,0.308179498,0.308179498,0.308179498
EC07,,2016,EC07_,Tex Creek,Tex Creek,2.46,2.53,30.3,0.02,0.89,0.89,59,0.308179498,NA,NA,NA,0.308179498,0.308179498,0.308179498
EC07,,2019,EC07_,Tex Creek,Tex Creek,2.36,NA,16.6,0.3,0.9,0.9,62,0.308179498,NA,NA,NA,0.308179498,0.308179498,0.308179498
EC07,,2022,EC07_,Tex Creek,Tex Creek,2.62,NA,NA,NA,0.84,0.85,57,0.308179498,NA,NA,NA,0.308179498,0.308179498,0.308179498
HC01,092-14-IK,2004,HC01_092-14-IK,Haynes Creek,Haynes Creek,NA,2.62,29,NA,1,1,62,NA,0.086410761,0.566090226,NA,0.1805996,0.085167907,0.129551411
HC01,092-14-IK,2009,HC01_092-14-IK,Haynes Creek,Haynes Creek,NA,2.92,28,NA,0.67,0.93,61,NA,0.086410761,0.566090226,NA,0.1805996,0.085167907,0.129551411
HC01,092-14-IK,2014,HC01_092-14-IK,Haynes Creek,Haynes Creek,NA,2.79,29,NA,0.5,1,63,NA,0.086410761,0.566090226,NA,0.1805996,0.085167907,0.129551411
HC01,092-14-IK,2017,HC01_092-14-IK,Haynes Creek,Haynes Creek,3.02,3.31,23.39,0.08,0.67,0.67,63,NA,0.086410761,0.566090226,NA,0.1805996,0.085167907,0.129551411
