DATE_ACQUIRED,QA_PIXEL
2007-11-12T00:00:00,5440.0
2007-11-28T00:00:00,5896.0
2007-12-14T00:00:00,5896.0
2007-12-30T00:00:00,5896.0
2008-01-15T00:00:00,13600.0
2008-01-31T00:00:00,5896.0
2008-02-16T00:00:00,5896.0
2008-03-03T00:00:00,5896.0
2008-03-19T00:00:00,5896.0
2008-04-04T00:00:00,5896.0
2008-04-20T00:00:00,5896.0
2008-05-06T00:00:00,5896.0
2008-05-22T00:00:00,5896.0
2008-06-07T00:00:00,5896.0
2008-06-23T00:00:00,5896.0
2008-07-09T00:00:00,5440.0
2008-07-25T00:00:00,5440.0
2008-08-10T00:00:00,5440.0
2008-08-26T00:00:00,5896.0
2008-09-11T00:00:00,5440.0
2008-09-27T00:00:00,5440.0
2008-10-13T00:00:00,5896.0
2008-10-29T00:00:00,5440.0
2008-11-14T00:00:00,5896.0
2008-11-30T00:00:00,5440.0
2008-12-16T00:00:00,5440.0
2009-01-01T00:00:00,5896.0
2009-01-17T00:00:00,13600.0
2009-02-02T00:00:00,5896.0
2009-02-18T00:00:00,13600.0
2009-03-06T00:00:00,5896.0
2009-03-22T00:00:00,5896.0
2009-04-07T00:00:00,5896.0
2009-04-23T00:00:00,5440.0
2009-05-09T00:00:00,5896.0
2009-05-25T00:00:00,7440.0
2009-06-10T00:00:00,5896.0
2009-06-26T00:00:00,5440.0
2009-07-12T00:00:00,5440.0
2009-07-28T00:00:00,5440.0
2009-08-13T00:00:00,5896.0
2009-08-29T00:00:00,5896.0
2009-09-14T00:00:00,5440.0
2009-09-30T00:00:00,5440.0
2009-10-16T00:00:00,5440.0
2009-11-01T00:00:00,5896.0
2009-11-17T00:00:00,5896.0
2009-12-03T00:00:00,5896.0
2009-12-19T00:00:00,5896.0
2010-01-04T00:00:00,5896.0
2010-01-20T00:00:00,5896.0
2010-02-05T00:00:00,13600.0
2010-02-21T00:00:00,5896.0
2010-03-09T00:00:00,5896.0
2010-03-25T00:00:00,5896.0
2010-04-10T00:00:00,5896.0
2010-04-26T00:00:00,5896.0
2010-05-12T00:00:00,5896.0
2010-05-28T00:00:00,5896.0
2010-06-13T00:00:00,5896.0
2010-06-29T00:00:00,5440.0
2010-07-15T00:00:00,5440.0
2010-07-31T00:00:00,5440.0
2010-08-16T00:00:00,5440.0
2010-09-01T00:00:00,5440.0
2010-09-17T00:00:00,5440.0
2010-10-03T00:00:00,5440.0
2010-10-19T00:00:00,5440.0
2010-11-04T00:00:00,5896.0
2010-11-20T00:00:00,
2010-12-06T00:00:00,5896.0
2010-12-22T00:00:00,5896.0
2011-01-07T00:00:00,5896.0
2011-01-23T00:00:00,5896.0
2011-02-08T00:00:00,5896.0
2011-02-24T00:00:00,5896.0
2011-03-12T00:00:00,13600.0
2011-03-28T00:00:00,5896.0
2011-04-13T00:00:00,5896.0
2011-04-29T00:00:00,5896.0
2011-05-15T00:00:00,
2011-05-31T00:00:00,5896.0
2011-06-16T00:00:00,5440.0
2011-07-02T00:00:00,5440.0
2011-07-18T00:00:00,5440.0
2011-08-03T00:00:00,5440.0
2011-08-19T00:00:00,5896.0
2011-09-04T00:00:00,5440.0
2011-09-20T00:00:00,5440.0
2011-10-06T00:00:00,7440.0
2011-10-22T00:00:00,5896.0
2011-11-07T00:00:00,7440.0
2011-11-23T00:00:00,13600.0
2011-12-09T00:00:00,5504.0
2011-12-25T00:00:00,5440.0
2012-01-10T00:00:00,5504.0
2012-01-26T00:00:00,5896.0
2012-02-11T00:00:00,5896.0
2012-02-27T00:00:00,13600.0
2012-03-14T00:00:00,5896.0
2012-03-30T00:00:00,5896.0
2012-04-15T00:00:00,5896.0
2012-05-01T00:00:00,5440.0
2012-05-17T00:00:00,5896.0
2012-06-02T00:00:00,5896.0
2012-06-18T00:00:00,5896.0
2012-07-04T00:00:00,5896.0
2012-07-20T00:00:00,5896.0
2012-08-05T00:00:00,5896.0
2012-08-21T00:00:00,5440.0
2012-09-06T00:00:00,5440.0
2012-09-22T00:00:00,5440.0
2012-10-08T00:00:00,5440.0
2012-10-24T00:00:00,5896.0
2012-11-09T00:00:00,5896.0
2012-11-25T00:00:00,5440.0
2012-12-11T00:00:00,5896.0
2012-12-27T00:00:00,5896.0
2013-01-12T00:00:00,5896.0
2013-01-28T00:00:00,5896.0
2013-02-13T00:00:00,5896.0
2013-03-01T00:00:00,5896.0
2013-03-17T00:00:00,13600.0
2013-04-02T00:00:00,5440.0
2013-04-18T00:00:00,5440.0
2013-05-04T00:00:00,5896.0
2013-05-20T00:00:00,5896.0
2013-06-05T00:00:00,5896.0
2013-06-21T00:00:00,5896.0
2013-07-07T00:00:00,5440.0
2013-07-23T00:00:00,5440.0
2013-08-08T00:00:00,5440.0
2013-08-24T00:00:00,5440.0
2013-09-09T00:00:00,5896.0
2013-09-25T00:00:00,5896.0
2013-10-11T00:00:00,5440.0
2013-10-27T00:00:00,5896.0
2013-11-12T00:00:00,5896.0
2013-11-28T00:00:00,5440.0
2013-12-14T00:00:00,5896.0
2013-12-30T00:00:00,5504.0
